Ship Mode,First Class,First Class,First Class,Same Day,Same Day,Same Day,Second Class,Second Class,Second Class,Standard Class,Standard Class,Standard Class
Segment,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office
Order Date,,,,,,,,,,,,
14-Mar-13,,,,,,,,,,,,91.056
16-Dec-13,,,,,,,129.44,,,,,
2-Jun-13,,,,,,,,,,605.47,,
21-Oct-13,,,,,,,,,,,788.86,
27-Aug-13,,,,,,,13.36,,,,,
28-Nov-13,,,,,,,,542.34,,,,
31-Mar-13,,,,,,,,,,,1.869,
21-Nov-13,,,,,,,,,,,865.5,
1-Nov-13,,,,,,,,,,,1044.44,
5-Apr-13,,,,,,,,4251.92,,,,
5-Jul-13,,242.546,,,,,,,,,,
15-Jan-13,149.95,,,,,,,,,,,
2-Dec-13,,,,,,,,,,,21.19,
19-Mar-13,,590.762,,,,,,,,,,
27-Jun-13,,,,,,,,,,616.14,,
6-Jan-13,,12.78,,,,,,,,,,
14-May-13,,,,,,,,,,,310.88,
12-Dec-13,,,,,,,,,,23.472,,
29-Apr-13,,,,,,,,,,,661.504,
24-Oct-13,,,,,,,,,,,,10.368
15-Aug-13,243.6,,,,,,,,,,,
13-Jan-13,,,,,,,545.94,,,,,
25-Apr-13,,,,,,,,,,302.376,,
18-Oct-13,,,,,,,,2216.8,,,,
21-Jan-13,,,,,,,25.248,,,,,
17-Aug-13,,,,,,,,,,,484.79,
5-May-13,,47.32,,,,,,,,,,
